Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
418	-3.0002e-002	0.18	3.0002e-002	54450
429	-3.0002e-002	0.19	3.0002e-002	43293
417	-3.0002e-002	0.17	3.0002e-002	88383
416	-2.0002e-002	0.17	3.0002e-002	97712
398	0.20461	0.10308	2.0002e-002	13472
399	0.20846	0.11231	2.0002e-002	1204.8
449	-2.0002e-002	0.19	3.0002e-002	38160
443	-4.0002e-002	4.2001e-002	-7.5999e-002	6.2632e+005
451	-4.0002e-002	4.8001e-002	-8.3999e-002	8.4623e+005
452	-8.0002e-002	4.8001e-002	-8.3999e-002	7.0449e+005
400	0.20846	0.11231	3.0002e-002	1589.9
420	-1.0002e-002	0.19	3.0002e-002	40930
432	-2.15e-006	0.19	3.0002e-002	40819
419	-2.0002e-002	0.18	3.0002e-002	4810.8
407	-2.15e-006	8.0001e-002	3.0002e-002	1.0821e+006
414	-2.0002e-002	0.15	3.0002e-002	1.6648e+005
415	-2.0002e-002	0.16	3.0002e-002	2.2144e+005
403	0.17	-2.0001e-002	3.0002e-002	2.9077e+005
427	-4.0002e-002	0.14	3.0002e-002	1924.6
409	-1.0002e-002	9.0001e-002	3.0002e-002	4.9532e+005
401	0.21231	0.12154	3.0002e-002	384.91
428	-5.0002e-002	0.14	3.0002e-002	384.91
434	0.17761	-3.8494e-002	2.0002e-002	2.2364e+005
438	0.19284	-7.5481e-002	2.0002e-002	75832
437	0.18904	-6.6235e-002	2.0002e-002	1.0586e+005
431	-5.0002e-002	0.18	3.0002e-002	384.91
430	-4.0002e-002	0.18	3.0002e-002	1924.6
410	-2.15e-006	9.0001e-002	3.0002e-002	5.1753e+005
448	-3.0002e-002	0.13	3.0002e-002	2.501e+005
450	-2.15e-006	0.2	3.0002e-002	38916
475	-3.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
476	-2.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
473	-4.0002e-002	0.22	3.0002e-002	1924.6
472	-3.0002e-002	0.22	3.0002e-002	8853.
457	-5.0002e-002	5.8001e-002	-9.3998e-002	5.9068e+005
456	-5.0002e-002	4.8001e-002	-9.3998e-002	1.1159e+006
471	-2.0002e-002	0.22	3.0002e-002	20400
458	-6.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
467	-1.0002e-002	0.22	3.0002e-002	15268
468	-2.15e-006	0.22	3.0002e-002	1924.6
453	-2.0002e-002	0.2	3.0002e-002	36526
462	-0.1	5.8001e-002	-9.3998e-002	-1.0656e-012
461	-9.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
474	-5.0002e-002	0.22	3.0002e-002	384.91
460	-8.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
459	-7.0002e-002	5.8001e-002	-9.3998e-002	4.6637e+005
477	-1.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
454	-2.15e-006	0.21	3.0002e-002	15728
469	9.9979e-003	0.22	3.0002e-002	384.91
466	-1.0002e-002	0.21	3.0002e-002	21012
463	-7.0002e-002	4.8001e-002	-8.3998e-002	1.8905e+006
478	-2.15e-006	5.8001e-002	-9.3998e-002	-1.0656e-012
465	-2.0002e-002	0.21	3.0002e-002	12058
470	-4.0002e-002	5.8001e-002	-9.3998e-002	-1.0656e-012
464	-7.0002e-002	4.8001e-002	-9.3998e-002	1.4279e+006
455	-5.0002e-002	4.8001e-002	-8.3998e-002	1.9188e+006
208	-5.0002e-002	-3.0001e-002	-5.9998e-002	2.007e+006
2	-4.0002e-002	-0.22	3.0002e-002	1924.6
3	-3.0002e-002	-0.22	3.0002e-002	8853.
4	-2.0002e-002	-0.22	3.0002e-002	20400
5	-1.0002e-002	-0.22	3.0002e-002	15268
6	-1.0002e-002	-0.21	3.0002e-002	21012
7	-2.15e-006	-0.21	3.0002e-002	15728
8	-2.15e-006	-0.2	3.0002e-002	38916
9	-2.15e-006	-0.19	3.0002e-002	40819
10	-1.0002e-002	-0.19	3.0002e-002	40930
11	-1.0002e-002	-0.18	3.0002e-002	55923
14	-2.15e-006	-0.22	3.0002e-002	1924.6
16	-2.0002e-002	-0.18	3.0002e-002	4810.8
17	-3.0002e-002	-0.18	3.0002e-002	54450
18	-3.0002e-002	-0.17	3.0002e-002	88383
19	-2.0002e-002	-0.17	3.0002e-002	97712
20	-2.0002e-002	-0.16	3.0002e-002	2.2144e+005
22	-3.0002e-002	-0.15	3.0002e-002	1.6331e+005
23	-3.0002e-002	-0.14	3.0002e-002	1.8887e+005
12	-2.15e-006	-0.18	3.0002e-002	1924.6
13	9.9979e-003	-0.18	3.0002e-002	384.91
21	-2.0002e-002	-0.15	3.0002e-002	1.6648e+005
24	-2.0002e-002	-0.14	3.0002e-002	8212.3
25	-1.0002e-002	-0.14	3.0002e-002	1.911e+005
1	-5.0002e-002	-0.22	3.0002e-002	384.91
15	-2.0002e-002	-0.21	3.0002e-002	12058
65	-3.0002e-002	-6.0001e-002	3.0002e-002	8853.
64	-2.0002e-002	-6.0001e-002	3.0002e-002	20400
70	-2.0002e-002	-0.12	3.0002e-002	5.7091e+005
69	-2.0002e-002	-0.11	3.0002e-002	3.7544e+005
62	-2.0002e-002	-0.13	3.0002e-002	2.6427e+005
72	-2.15e-006	-6.0001e-002	3.0002e-002	5.7467e+005
73	9.9979e-003	-6.0001e-002	3.0002e-002	1.8657e+006
41	-3.0002e-002	-0.1	3.0002e-002	4.0908e+005
40	-3.0002e-002	-9.0001e-002	3.0002e-002	5.0818e+005
51	-4.0002e-002	-0.14	3.0002e-002	1924.6
74	9.9979e-003	-5.0001e-002	3.0002e-002	2.0427e+006
38	-2.0002e-002	-8.0001e-002	3.0002e-002	1.0996e+006
37	-2.0002e-002	-7.0001e-002	3.0002e-002	6.7223e+005
56	-2.15e-006	-0.17	3.0002e-002	99875
55	-2.15e-006	-0.16	3.0002e-002	2.2351e+005
48	-3.0002e-002	-0.19	3.0002e-002	43293
67	-5.0002e-002	-6.0001e-002	3.0002e-002	384.91
66	-4.0002e-002	-6.0001e-002	3.0002e-002	1924.6
36	-1.0002e-002	-7.0001e-002	3.0002e-002	9.3065e+005
57	-1.0002e-002	-6.0001e-002	3.0002e-002	1.025e+006
35	-2.15e-006	-7.0001e-002	3.0002e-002	6.5414e+005
75	-2.15e-006	-5.0001e-002	3.0002e-002	1.8637e+006
77	-1.0002e-002	-4.0001e-002	3.e-002	1.8614e+006
76	-2.15e-006	-4.0001e-002	3.0002e-002	2.045e+006
47	-1.0002e-002	-0.17	3.0002e-002	89703
78	-1.0002e-002	-3.0001e-002	3.e-002	1.6113e+006
32	-1.0002e-002	-9.0001e-002	3.0002e-002	4.9532e+005
33	-2.15e-006	-9.0001e-002	3.0002e-002	5.1753e+005
53	-1.0002e-002	-0.15	3.0002e-002	1.6181e+005
81	-2.0002e-002	-3.0001e-002	3.e-002	8.2006e+005
83	-3.0002e-002	-4.0001e-002	3.0002e-002	6.7556e+005
82	-2.0002e-002	-4.0001e-002	3.0002e-002	1.0782e+006
79	-2.15e-006	-3.0001e-002	3.e-002	1924.6
80	9.9979e-003	-3.0001e-002	3.e-002	384.91
43	-2.15e-006	-0.1	3.0002e-002	1924.6
44	9.9979e-003	-0.1	3.0002e-002	384.91
34	-2.15e-006	-8.0001e-002	3.0002e-002	1.0821e+006
68	-3.0002e-002	-0.11	3.0002e-002	3.6742e+005
84	-4.0002e-002	-4.0001e-002	3.0002e-002	3.8479e+005
85	-5.0002e-002	-4.0001e-002	3.0002e-002	6.8913e+005
31	-1.0002e-002	-0.1	3.0002e-002	4.1185e+005
45	9.9979e-003	-0.22	3.0002e-002	384.91
49	-2.0002e-002	-0.19	3.0002e-002	38160
