Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Combined Stress (Pa)
244	0.16	1.0001e-002	3.0002e-002	7.7961e+005
284	-8.0002e-002	-4.8001e-002	-8.3998e-002	7.0456e+005
285	-7.0002e-002	-4.8001e-002	-8.3998e-002	1.8905e+006
263	0.222	-1.0001e-002	4.6002e-002	38714
275	0.24	1.0001e-002	8.0002e-002	23813
253	0.224	6.e-007	7.8e-002	50405
254	0.232	6.e-007	8.4e-002	98752
287	-7.0002e-002	-5.8001e-002	-9.3998e-002	4.6646e+005
286	-7.0002e-002	-4.8001e-002	-9.3998e-002	1.4278e+006
252	0.216	6.e-007	7.2e-002	24784
265	0.21	-1.0001e-002	3.0002e-002	27580
266	0.21	-6.e-007	3.0001e-002	73893
289	-9.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
288	-8.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
294	-2.15e-006	3.0001e-002	3.e-002	1924.6
281	-8.0002e-002	-3.0001e-002	-5.9998e-002	8.045e+005
264	0.216	-1.0001e-002	3.8002e-002	38185
295	-1.0002e-002	4.0001e-002	3.e-002	1.8614e+006
296	-2.15e-006	4.0001e-002	3.0002e-002	2.045e+006
291	-6.0002e-002	-5.8001e-002	-9.3998e-002	-3.3243e-013
300	-2.15e-006	6.0001e-002	3.0002e-002	5.7467e+005
299	9.9979e-003	6.0001e-002	3.0002e-002	1.8657e+006
301	-1.0002e-002	6.0001e-002	3.0002e-002	1.025e+006
302	-1.0002e-002	7.0001e-002	3.0002e-002	9.3065e+005
303	-2.0002e-002	7.0001e-002	3.0002e-002	6.7223e+005
278	-6.0002e-002	-2.0001e-002	-4.9998e-002	2.5526e+005
276	0.24	1.0001e-002	9.0001e-002	49184
260	0.24	-1.0001e-002	7.0002e-002	21763
280	-7.0002e-002	-3.0001e-002	-5.9998e-002	1.8196e+006
251	0.208	6.e-007	6.6e-002	79597
290	-0.1	-5.8001e-002	-9.3998e-002	-3.3243e-013
293	-7.0002e-002	3.0001e-002	-4.9998e-002	1.4023e+006
292	-5.0002e-002	3.0001e-002	-4.9998e-002	1.4379e+006
349	0.21	3.e-002	3.0001e-002	1.1278e+005
350	0.21	4.0001e-002	3.0001e-002	82756
358	-7.0002e-002	3.0001e-002	-5.9998e-002	1.8195e+006
322	6.8233e-002	6.e-007	-2.9397e-003	3.2673e+005
321	7.7057e-002	6.e-007	1.7662e-003	4.396e+005
311	9.9998e-002	-1.0001e-002	3.0002e-002	4.7495e+005
312	0.11	-1.0001e-002	3.0002e-002	8.5234e+005
313	0.12	-1.0001e-002	3.0002e-002	9.2703e+005
314	0.13	-1.0001e-002	3.0002e-002	9.4049e+005
327	2.4116e-002	6.e-007	-2.6469e-002	-1.7647e+005
319	9.4704e-002	6.e-007	1.1178e-002	6.7756e+005
318	0.10353	6.e-007	1.5884e-002	8.0266e+005
337	0.21	-4.0001e-002	3.0001e-002	82756
336	0.21	-3.e-002	3.0001e-002	1.1278e+005
